conf_id,blind,accept_rate,submit_count,accept_count,reject_count
NeurIPS.cc/2021/Workshop/ImageNet_PPF,double,0.0,16,0,16
NeurIPS.cc/2021/Workshop/LatinX_in_AI,double,0.0,13,0,13
NeurIPS.cc/2021/Workshop/MetaLearn,double,0.0,50,0,50
NeurIPS.cc/2021/Workshop/PERLS,double,0.0,6,0,6
NeurIPS.cc/2021/Workshop/PRIML,single,0.0,37,0,37
NeurIPS.cc/2021/Workshop/SVRHM,double,1.0,31,31,0
NeurIPS.cc/2021/Workshop/XAI4Debugging,double,0.0,20,0,20
NeurIPS.cc/2022/Conference,double,0.9458215297450425,2824,2671,153
aclweb.org/ACL/2020/Workshop/NLP-COVID,single,0.2903225806451613,62,18,44
aclweb.org/ACL/2022/Workshop/BigScience,double,0.0,18,0,18
aclweb.org/ACL/2022/Workshop/CMCL,double,0.5454545454545454,22,12,10
aclweb.org/ACL/2022/Workshop/CMCL_Shared_Task,single,1.0,6,6,0
aclweb.org/ACL/2022/Workshop/CSRR,double,0.7857142857142857,14,11,3
aclweb.org/ACL/2022/Workshop/FL4NLP,double,1.0,8,8,0
aclweb.org/ACL/2022/Workshop/LNLS,double,0.0,20,0,20
aclweb.org/ACL/2022/Workshop/NLP_ConvAI,double,0.0,44,0,44
ECMLPKDD.org/2020/Workshop/TeachML,double,0.75,8,6,2
ecmlpkdd.org/ECMLPKDD/2021/Workshop/TeachML,double,0.8,20,16,4
AAAI.org/2022/Workshop/ADAM,single,0.0,23,0,23
AAAI.org/2022/Workshop/AIAFS,single,0.0,29,0,29
AAAI.org/2022/Workshop/AdvML,double,1.0,28,28,0
AAAI.org/2022/Workshop/CLeaR,double,0.0,15,0,15
AAAI.org/2022/Workshop/ML4OR-22,double,0.0,11,0,11
aclweb.org/NAACL/2022/Conference,double,0.0,379,0,379
aclweb.org/NAACL/2022/Workshop/DLG4NLP,double,0.0,8,0,8
aclweb.org/NAACL/2022/Workshop/LXNLP_Regular_Deadline,double,0.0,3,0,3
aclweb.org/NAACL/2022/Workshop/Wordplay,double,0.0,12,0,12
ecmlpkdd.org/ECMLPKDD/2022/Workshop/MLG,single,0.0,21,0,21
ICLR.cc/2021/Workshop/Rethinking_ML_Papers,double,1.0,8,8,0
ICLR.cc/2021/Workshop/Rethinking_ML_Papers/Exhibit_and_Workflow,single,1.0,8,8,0
NeurIPS.cc/2022/Workshop/MetaLearn,double,0.0,45,0,45
NeurIPS.cc/2022/Workshop/TS4H,double,0.0,42,0,42
NeurIPS.cc/2022/Workshop/TGL,double,0.0,11,0,11
NeurIPS.cc/2022/Workshop/TRL,single,0.0,23,0,23
NeurIPS.cc/2022/Workshop/GLFrontiers,double,0.0,55,0,55
NeurIPS.cc/2022/Workshop/AI4Science,double,0.0,89,0,89
NeurIPS.cc/2022/Workshop/NeurReps,double,1.0,67,67,0
NeurIPS.cc/2022/Workshop/nCSI,double,0.7916666666666666,24,19,5
NeurIPS.cc/2022/Workshop/CML4Impact,double,0.0,56,0,56
NeurIPS.cc/2022/Workshop/FMDM,double,0.0,55,0,55
NeurIPS.cc/2022/Workshop/OPT,double,0.0,91,0,91
NeurIPS.cc/2022/Workshop/RobustSeq,double,0.0,20,0,20
NeurIPS.cc/2022/Workshop/LaReL,double,1.0,18,18,0
NeurIPS.cc/2022/Workshop/CDS,double,0.0,22,0,22
NeurIPS.cc/2022/Workshop/SVRHM,double,0.0,37,0,37
NeurIPS.cc/2022/Workshop/HITY,double,1.0,31,31,0
NeurIPS.cc/2022/Workshop/DeepRL,double,0.0,196,0,196
NeurIPS.cc/2022/Workshop/GMML,double,1.0,18,18,0
NeurIPS.cc/2022/Workshop/SyntheticData4ML,double,0.0,46,0,46
NeurIPS.cc/2022/Workshop/TEA,double,1.0,11,11,0
NeurIPS.cc/2022/Workshop/Attention,double,0.0,19,0,19
NeurIPS.cc/2022/Workshop/ICBINB,double,0.0,40,0,40
NeurIPS.cc/2022/Workshop/Federated_Learning,double,1.0,74,74,0
NeurIPS.cc/2022/Workshop/AI4Mat,double,0.0,40,0,40
NeurIPS.cc/2022/Workshop/INTERPOLATE,double,0.0,20,0,20
NeurIPS.cc/2022/Workshop/PAI4MH,double,0.0,13,0,13
NeurIPS.cc/2022/Workshop/DLDE,double,0.0,28,0,28
NeurIPS.cc/2022/Workshop/TSRML,double,1.0,87,87,0
NeurIPS.cc/2022/Workshop/InfoCog,double,0.0,36,0,36
NeurIPS.cc/2022/Workshop/SBM,double,0.0,62,0,62
NeurIPS.cc/2022/Workshop/WBRC,double,0.0,15,0,15
NeurIPS.cc/2022/Workshop/Offline_RL,double,0.0,59,0,59
NeurIPS.cc/2022/Workshop/DistShift,double,0.0,95,0,95
NeurIPS.cc/2022/Workshop/LMRL,double,0.0,66,0,66
NeurIPS.cc/2022/Workshop/MLSW,double,0.0,132,0,132
